participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602611,4,concrete_noun,7,139,2,leabhar,labhair,0,book,book,1,55,1.8,3,0
16602611,5,concrete_noun,4,144,2,lámh,lámh,1,NA,NA,NA,55,1.8,3,0
16602611,6,concrete_noun,7,157,2,airgead,airgid,0,money,money,1,55,1.8,3,0
16602611,7,concrete_noun,4,158,2,béal,béil,0,mouth,mouth,1,55,1.8,3,0
16602611,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,55,1.8,3,0
16602611,9,concrete_noun,6,220,0,oileán,NA,0,island,NA,0,55,1.8,3,0
16602611,10,concrete_noun,7,238,0,cathair,NA,0,city,chair,0,55,1.8,3,0
16602611,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,55,1.8,3,0
16602611,12,concrete_noun,3,249,1,cos,NA,0,leg,leg,1,55,1.8,3,0
16602611,13,concrete_noun,4,258,2,croí,croí,1,NA,NA,NA,55,1.8,3,0
16602611,14,concrete_noun,9,310,2,múinteoir,muinteoir,1,NA,NA,NA,55,1.8,3,0
16602611,15,concrete_noun,3,384,2,bia,bia,1,NA,NA,NA,55,1.8,3,0
16602611,16,abstract_noun,6,39,2,bliain,blian,0,year,year,1,55,1.8,3,0
16602611,17,abstract_noun,2,59,2,lá,lá,1,NA,NA,NA,55,1.8,3,0
16602611,18,abstract_noun,5,72,2,taobh,taobh,1,NA,NA,NA,55,1.8,3,0
16602611,19,abstract_noun,5,83,1,scéal,NA,0,story,story,1,55,1.8,3,0
16602611,20,abstract_noun,3,84,2,tír,tír,1,NA,NA,NA,55,1.8,3,0
16602611,21,abstract_noun,4,85,0,saol,NA,0,lifetime,NA,0,55,1.8,3,0
16602611,22,abstract_noun,5,89,2,ceist,ceist,1,NA,NA,NA,55,1.8,3,0
16602611,23,abstract_noun,6,115,1,teanga,tainge,0,language,language,1,55,1.8,3,0
16602611,24,abstract_noun,5,126,2,oíche,oíche,1,NA,NA,NA,55,1.8,3,0
16602611,25,abstract_noun,4,127,0,aire,NA,0,care/attention,NA,0,55,1.8,3,0
16602611,26,abstract_noun,5,132,1,eolas,NA,0,knowledge,knowledge,1,55,1.8,3,0
16602611,27,abstract_noun,9,142,1,seachtain,NA,0,week,week,1,55,1.8,3,0
16602611,28,abstract_noun,6,278,2,aimsir,aimsir,0,weather,westher,0,55,1.8,3,0
16602611,29,abstract_noun,5,381,0,gaoth,NA,0,wind,NA,0,55,1.8,3,0
16602611,30,abstract_noun,4,456,NA,dath,dathuil,0,colour,NA,0,55,1.8,3,0
16602611,31,verb,4,17,2,cuir,chuir,0,to put,to put,0,55,1.8,3,0
16602611,32,verb,4,20,0,déan,rinne,0,to do,NA,0,55,1.8,3,0
16602611,33,verb,7,24,NA,tabhair,fuair,0,to give/grant,NA,0,55,1.8,3,0
16602611,34,verb,3,33,2,tar,tár,0,to come,come,0,55,1.8,3,0
16602611,35,verb,5,36,1,faigh,fuair,0,to get/receive,to get,0,55,1.8,3,0
16602611,36,verb,5,41,1,téigh,rachao,0,to go,to go,1,55,1.8,3,0
16602611,37,verb,4,76,1,feic,chonaic,0,to see,see,0,55,1.8,3,0
16602611,38,verb,4,88,0,féad,taim áble,0,to be able to,NA,0,55,1.8,3,0
16602611,39,verb,6,101,0,éirigh,NA,0,to get up/to rise,island,0,55,1.8,3,0
16602611,40,verb,4,119,0,iarr,chuir cei,0,to ask,NA,0,55,1.8,3,0
16602611,41,verb,5,133,0,imigh,NA,0,to leave/go away,to start,0,55,1.8,3,0
16602611,42,verb,4,136,0,lean,NA,0,to follow,NA,0,55,1.8,3,0
