Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
29,1788536921881,04/09/2026 15:48:41,1788536921881,1,04/09/2026 16:48:41,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,19,Trial,Check,hy52gd,1,response,checked,,103.5,103.5,103.5,103.5,103.5,103.5,1,0,0,,Time Limit,screen,0,screen,story,scéal,Trial,
30,1788536921982,04/09/2026 15:48:41,1788536921982,1,04/09/2026 16:48:41,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,20,Trial,Check,hy52gd,1,response,checked,,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,1,0,0,,Time Limit,screen,0,screen,country,tír,Trial,
31,1788536922082,04/09/2026 15:48:42,1788536922082,1,04/09/2026 16:48:42,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,21,Trial,Check,hy52gd,1,response,checked,,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,1,0,0,,Time Limit,screen,0,screen,lifetime,saol,Trial,
32,1788536922180,04/09/2026 15:48:42,1788536922180,1,04/09/2026 16:48:42,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,22,Trial,Check,hy52gd,1,response,checked,,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,1,0,0,,Time Limit,screen,0,screen,question (noun),ceist,Trial,
33,1788536922280,04/09/2026 15:48:42,1788536922280,1,04/09/2026 16:48:42,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,23,Trial,Check,hy52gd,1,response,checked,,98.79999999999927,98.79999999999927,98.79999999999927,98.79999999999927,98.79999999999927,98.79999999999927,1,0,0,,Time Limit,screen,0,screen,language,teanga,Trial,
34,1788536922381,04/09/2026 15:48:42,1788536922381,1,04/09/2026 16:48:42,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,24,Trial,Check,hy52gd,1,response,checked,,100.5,100.5,100.5,100.5,100.5,100.5,1,0,0,,Time Limit,screen,0,screen,night,oíche,Trial,
35,1788536922480,04/09/2026 15:48:42,1788536922480,1,04/09/2026 16:48:42,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,25,Trial,Check,hy52gd,1,response,checked,,98.90000000000146,98.90000000000146,98.90000000000146,98.90000000000146,98.90000000000146,98.90000000000146,1,0,0,,Time Limit,screen,0,screen,care/attention,aire,Trial,
36,1788536926963,04/09/2026 15:48:46,1788536926963,1,04/09/2026 16:48:46,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,25,Trial,Trial,3izpks,2,continue,,,4484.299999988078,4478.5,4484.299999988078,4484.299999988078,4478.5,4484.299999988078,0,0,0,,Click To Continue,Continue Button,3,object-8,care/attention,aire,Trial,
37,1788536926963,04/09/2026 15:48:46,1788536926963,1,04/09/2026 16:48:46,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,25,Trial,Trial,3izpks,2,response,,,4484.699999994038,4478.5,4484.699999994038,4484.699999994038,4478.5,4484.699999994038,0,0,0,,Text Entry,Text Entry,2,object-4,care/attention,aire,Trial,
38,1788536927061,04/09/2026 15:48:47,1788536927061,1,04/09/2026 16:48:47,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,26,Trial,Check,hy52gd,1,response,checked,,102.69999999999709,102.69999999999709,102.69999999999709,102.69999999999709,102.69999999999709,102.69999999999709,1,0,0,,Time Limit,screen,0,screen,knowledge,eolas,Trial,
39,1788536931426,04/09/2026 15:48:51,1788536931426,1,04/09/2026 16:48:51,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,26,Trial,Trial,3izpks,2,continue,,,4365.799999991061,4362.5,4365.799999991061,4365.799999991061,4362.5,4365.799999991061,0,0,0,,Click To Continue,Continue Button,3,object-8,knowledge,eolas,Trial,
40,1788536931426,04/09/2026 15:48:51,1788536931426,1,04/09/2026 16:48:51,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,26,Trial,Trial,3izpks,2,response,wind,,3105.5999999999985,4362.5,4366.699999997021,3105.5999999999985,4362.5,4366.699999997021,0,1261.0999999970227,0,,Text Entry,Text Entry,2,object-4,knowledge,eolas,Trial,
41,1788536931524,04/09/2026 15:48:51,1788536931524,1,04/09/2026 16:48:51,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,27,Trial,Check,hy52gd,1,response,checked,,100.40000000000146,100.40000000000146,100.40000000000146,100.40000000000146,100.40000000000146,100.40000000000146,1,0,0,,Time Limit,screen,0,screen,week,seachtain,Trial,
42,1788536931623,04/09/2026 15:48:51,1788536931623,1,04/09/2026 16:48:51,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,28,Trial,Check,hy52gd,1,response,checked,,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,1,0,0,,Time Limit,screen,0,screen,weather,aimsir,Trial,
43,1788536931722,04/09/2026 15:48:51,1788536931722,1,04/09/2026 16:48:51,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,29,Trial,Check,hy52gd,1,response,checked,,99,99,99,99,99,99,1,0,0,,Time Limit,screen,0,screen,wind,gaoth,Trial,
44,1788536934185,04/09/2026 15:48:54,1788536934185,1,04/09/2026 16:48:54,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,29,Trial,Trial,3izpks,2,continue,,,2464.0999999970227,2462.4000000000015,2464.0999999970227,2464.0999999970227,2462.4000000000015,2464.0999999970227,0,0,0,,Click To Continue,Continue Button,3,object-8,wind,gaoth,Trial,
45,1788536934190,04/09/2026 15:48:54,1788536934190,1,04/09/2026 16:48:54,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,29,Trial,Trial,3izpks,2,response,wind,,1140,2462.4000000000015,2468.999999988082,1140,2462.4000000000015,2468.999999988082,1,1328.999999988082,0,,Text Entry,Text Entry,2,object-4,wind,gaoth,Trial,
46,1788536934286,04/09/2026 15:48:54,1788536934286,1,04/09/2026 16:48:54,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,30,Trial,Check,hy52gd,1,response,checked,,101.5,101.5,101.5,101.5,101.5,101.5,1,0,0,,Time Limit,screen,0,screen,colour,dath,Trial,
47,1788536935664,04/09/2026 15:48:55,1788536935664,1,04/09/2026 16:48:55,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,30,Trial,Trial,3izpks,2,continue,,,1378.5000000000073,1370.2000000000044,1378.5000000000073,1378.5000000000073,1370.2000000000044,1378.5000000000073,0,0,0,,Click To Continue,Continue Button,3,object-8,colour,dath,Trial,
