Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
21,1788536723768,04/09/2026 15:45:23,1788536723768,1,04/09/2026 16:45:23,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,7,Trial,Trial,3yj36p,1,response,,,772.8999999910593,766.5,772.8999999910593,772.8999999910593,766.5,772.8999999910593,0,0,0,,Text Entry,Response,2,object-16,to put,cuir,cuir,Trial,1,,
22,1788536724555,04/09/2026 15:45:24,1788536724555,1,04/09/2026 16:45:24,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,8,Trial,Trial,3yj36p,1,continue,,,792.7999999970198,791.7000000000007,792.7999999970198,792.7999999970198,791.7000000000007,792.7999999970198,0,0,0,,Click To Continue,Continue Button,3,object-17,to get/receive,faigh,faigh,Trial,1,,
23,1788536724555,04/09/2026 15:45:24,1788536724555,1,04/09/2026 16:45:24,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,8,Trial,Trial,3yj36p,1,response,,,793.5999999940395,791.7000000000007,793.5999999940395,793.5999999940395,791.7000000000007,793.5999999940395,0,0,0,,Text Entry,Response,2,object-16,to get/receive,faigh,faigh,Trial,1,,
24,1788536725747,04/09/2026 15:45:25,1788536725747,1,04/09/2026 16:45:25,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,9,Trial,Trial,3yj36p,1,continue,,,1193.3999999940388,1191.7000000000007,1193.3999999940388,1193.3999999940388,1191.7000000000007,1193.3999999940388,0,0,0,,Click To Continue,Continue Button,3,object-17,to be able to,féad,fead,Trial,1,,
25,1788536725747,04/09/2026 15:45:25,1788536725747,1,04/09/2026 16:45:25,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,9,Trial,Trial,3yj36p,1,response,,,1194.1999999910586,1191.7000000000007,1194.1999999910586,1194.1999999910586,1191.7000000000007,1194.1999999910586,0,0,0,,Text Entry,Response,2,object-16,to be able to,féad,fead,Trial,1,,
26,1788536728747,04/09/2026 15:45:28,1788536728747,1,04/09/2026 16:45:28,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,10,Trial,Trial,3yj36p,1,continue,,,3001.800000002979,3000.4000000000015,3001.800000002979,3001.800000002979,3000.4000000000015,3001.800000002979,0,0,0,,Click To Continue,Continue Button,3,object-17,lifetime,saol,saol,Trial,1,,
27,1788536728752,04/09/2026 15:45:28,1788536728752,1,04/09/2026 16:45:28,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,10,Trial,Trial,3yj36p,1,response,saol,,1749.9000000000015,3000.4000000000015,3006.499999991058,1749.9000000000015,3000.4000000000015,3006.499999991058,1,1256.5999999910564,0,,Text Entry,Response,2,object-16,lifetime,saol,saol,Trial,1,,
28,1788536732219,04/09/2026 15:45:32,1788536732219,1,04/09/2026 16:45:32,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,11,Trial,Trial,3yj36p,1,continue,,,3472.999999997017,3470.7999999999956,3472.999999997017,3472.999999997017,3470.7999999999956,3472.999999997017,0,0,0,,Click To Continue,Continue Button,3,object-17,house,teach,teach,Trial,1,,
29,1788536732219,04/09/2026 15:45:32,1788536732219,1,04/09/2026 16:45:32,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,11,Trial,Trial,3yj36p,1,response,teach,,1208.0999999999985,3470.7999999999956,3473.5999999910564,1208.0999999999985,3470.7999999999956,3473.5999999910564,1,2265.499999991058,0,,Text Entry,Response,2,object-16,house,teach,teach,Trial,1,,
30,1788536735197,04/09/2026 15:45:35,1788536735197,1,04/09/2026 16:45:35,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,12,Trial,Trial,3yj36p,1,continue,,,2980.499999994041,2974.5999999999985,2980.499999994041,2980.499999994041,2974.5999999999985,2980.499999994041,0,0,0,,Click To Continue,Continue Button,3,object-17,poor,bocht,bocht,Trial,1,,
