Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
21,1788880538916,08/09/2026 15:15:38,1788880538916,1,08/09/2026 16:15:38,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,7,Trial,Trial,3yj36p,1,response,glan,,1053.7999999999993,2345.7000000000007,2353.5,1053.7999999999993,2345.7000000000007,2353.5,1,1299.7000000000007,0,,Text Entry,Response,2,object-16,clean,glan,glan,Trial,1,,
22,1788880541034,08/09/2026 15:15:41,1788880541034,1,08/09/2026 16:15:41,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,8,Trial,Trial,3yj36p,1,continue,,,2125.899999994039,2118.5,2125.899999994039,2125.899999994039,2118.5,2125.899999994039,0,0,0,,Click To Continue,Continue Button,3,object-17,tall/high,ard,ard,Trial,1,,
23,1788880541034,08/09/2026 15:15:41,1788880541034,1,08/09/2026 16:15:41,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,8,Trial,Trial,3yj36p,1,response,ard,,1327,2118.5,2126.4999999880783,1327,2118.5,2126.4999999880783,1,799.4999999880783,0,,Text Entry,Response,2,object-16,tall/high,ard,ard,Trial,1,,
24,1788880543776,08/09/2026 15:15:43,1788880543776,1,08/09/2026 16:15:43,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,9,Trial,Trial,3yj36p,1,continue,,,2748.899999994039,2743.0999999999985,2748.899999994039,2748.899999994039,2743.0999999999985,2748.899999994039,0,0,0,,Click To Continue,Continue Button,3,object-17,heart,croí,croi,Trial,1,,
25,1788880543776,08/09/2026 15:15:43,1788880543776,1,08/09/2026 16:15:43,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,9,Trial,Trial,3yj36p,1,response,croi,,1391.5999999999985,2743.0999999999985,2749.60000001192,1391.5999999999985,2743.0999999999985,2749.60000001192,1,1358.0000000119217,0,,Text Entry,Response,2,object-16,heart,croí,croi,Trial,1,,
26,1788880547268,08/09/2026 15:15:47,1788880547268,1,08/09/2026 16:15:47,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,10,Trial,Trial,3yj36p,1,continue,,,3497.7999999940403,3491.600000000002,3497.7999999940403,3497.7999999940403,3491.600000000002,3497.7999999940403,0,0,0,,Click To Continue,Continue Button,3,object-17,wind,gaoth,gaoth,Trial,1,,
27,1788880547268,08/09/2026 15:15:47,1788880547268,1,08/09/2026 16:15:47,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,10,Trial,Trial,3yj36p,1,response,gaoth,,1199.1000000000022,3491.600000000002,3498.600000005961,1199.1000000000022,3491.600000000002,3498.600000005961,1,2299.500000005959,0,,Text Entry,Response,2,object-16,wind,gaoth,gaoth,Trial,1,,
28,1788880548793,08/09/2026 15:15:48,1788880548793,1,08/09/2026 16:15:48,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,11,Trial,Trial,3yj36p,1,continue,,,1531.199999994038,1527.5999999999985,1531.199999994038,1531.199999994038,1527.5999999999985,1531.199999994038,0,0,0,,Click To Continue,Continue Button,3,object-17,soft,bog,bog,Trial,1,,
29,1788880548793,08/09/2026 15:15:48,1788880548793,1,08/09/2026 16:15:48,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,11,Trial,Trial,3yj36p,1,response,,,1531.9000000119195,1527.5999999999985,1531.9000000119195,1531.9000000119195,1527.5999999999985,1531.9000000119195,0,0,0,,Text Entry,Response,2,object-16,soft,bog,bog,Trial,1,,
30,1788880550914,08/09/2026 15:15:50,1788880550914,1,08/09/2026 16:15:50,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,12,Trial,Trial,3yj36p,1,continue,,,2123.7999999999956,2115.699999999997,2123.7999999999956,2123.7999999999956,2115.699999999997,2123.7999999999956,0,0,0,,Click To Continue,Continue Button,3,object-17,hand,lámh,lamh,Trial,1,,
