Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
22,1788880684362,08/09/2026 15:18:04,1788880684362,1,08/09/2026 16:18:04,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,16,Trial,Check,hy52gd,1,response,checked,,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,1,0,0,,Time Limit,screen,0,screen,year,bliain,Trial,
23,1788880686959,08/09/2026 15:18:06,1788880686959,1,08/09/2026 16:18:06,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,16,Trial,Trial,3izpks,2,continue,,,2596.6999999821182,2591.6000000000004,2596.6999999821182,2596.6999999821182,2591.6000000000004,2596.6999999821182,0,0,0,,Click To Continue,Continue Button,3,object-8,year,bliain,Trial,
24,1788880686960,08/09/2026 15:18:06,1788880686960,1,08/09/2026 16:18:06,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,16,Trial,Trial,3izpks,2,response,year,,1082.9999999999982,2591.6000000000004,2597.499999994039,1082.9999999999982,2591.6000000000004,2597.499999994039,1,1514.499999994041,0,,Text Entry,Text Entry,2,object-4,year,bliain,Trial,
25,1788880687054,08/09/2026 15:18:07,1788880687054,1,08/09/2026 16:18:07,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,17,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,day,lá,Trial,
26,1788880687154,08/09/2026 15:18:07,1788880687154,1,08/09/2026 16:18:07,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,18,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,side (noun),taobh,Trial,
27,1788880689100,08/09/2026 15:18:09,1788880689100,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,18,Trial,Trial,3izpks,2,continue,,,1946.3999999940388,1941.7000000000007,1946.3999999940388,1946.3999999940388,1941.7000000000007,1946.3999999940388,0,0,0,,Click To Continue,Continue Button,3,object-8,side (noun),taobh,Trial,
28,1788880689101,08/09/2026 15:18:09,1788880689101,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,18,Trial,Trial,3izpks,2,response,,,1946.9999999880783,1941.7000000000007,1946.9999999880783,1946.9999999880783,1941.7000000000007,1946.9999999880783,0,0,0,,Text Entry,Text Entry,2,object-4,side (noun),taobh,Trial,
29,1788880689196,08/09/2026 15:18:09,1788880689196,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,19,Trial,Check,hy52gd,1,response,checked,,99,99,99,99,99,99,1,0,0,,Time Limit,screen,0,screen,story,scéal,Trial,
30,1788880689296,08/09/2026 15:18:09,1788880689296,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,20,Trial,Check,hy52gd,1,response,checked,,100.79999999999927,100.79999999999927,100.79999999999927,100.79999999999927,100.79999999999927,100.79999999999927,1,0,0,,Time Limit,screen,0,screen,country,tír,Trial,
31,1788880689395,08/09/2026 15:18:09,1788880689395,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,21,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,lifetime,saol,Trial,
32,1788880689495,08/09/2026 15:18:09,1788880689495,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,22,Trial,Check,hy52gd,1,response,checked,,100.09999999999854,100.09999999999854,100.09999999999854,100.09999999999854,100.09999999999854,100.09999999999854,1,0,0,,Time Limit,screen,0,screen,question (noun),ceist,Trial,
33,1788880689595,08/09/2026 15:18:09,1788880689595,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,23,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,language,teanga,Trial,
34,1788880689697,08/09/2026 15:18:09,1788880689697,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,24,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,night,oíche,Trial,
35,1788880689795,08/09/2026 15:18:09,1788880689795,1,08/09/2026 16:18:09,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,25,Trial,Check,hy52gd,1,response,checked,,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,99.90000000000146,1,0,0,,Time Limit,screen,0,screen,care/attention,aire,Trial,
36,1788880690534,08/09/2026 15:18:10,1788880690534,1,08/09/2026 16:18:10,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,25,Trial,Trial,3izpks,2,continue,,,738.6999999761574,733.2000000000007,738.6999999761574,738.6999999761574,733.2000000000007,738.6999999761574,0,0,0,,Click To Continue,Continue Button,3,object-8,care/attention,aire,Trial,
37,1788880690534,08/09/2026 15:18:10,1788880690534,1,08/09/2026 16:18:10,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,25,Trial,Trial,3izpks,2,response,,,739.1999999761574,733.2000000000007,739.1999999761574,739.1999999761574,733.2000000000007,739.1999999761574,0,0,0,,Text Entry,Text Entry,2,object-4,care/attention,aire,Trial,
38,1788880690629,08/09/2026 15:18:10,1788880690629,1,08/09/2026 16:18:10,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,26,Trial,Check,hy52gd,1,response,checked,,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,1,0,0,,Time Limit,screen,0,screen,knowledge,eolas,Trial,
39,1788880691642,08/09/2026 15:18:11,1788880691642,1,08/09/2026 16:18:11,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,26,Trial,Trial,3izpks,2,continue,,,1013.4999999880783,1007.5,1013.4999999880783,1013.4999999880783,1007.5,1013.4999999880783,0,0,0,,Click To Continue,Continue Button,3,object-8,knowledge,eolas,Trial,
40,1788880691643,08/09/2026 15:18:11,1788880691643,1,08/09/2026 16:18:11,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,26,Trial,Trial,3izpks,2,response,,,1014.1999999761574,1007.5,1014.1999999761574,1014.1999999761574,1007.5,1014.1999999761574,0,0,0,,Text Entry,Text Entry,2,object-4,knowledge,eolas,Trial,
41,1788880691737,08/09/2026 15:18:11,1788880691737,1,08/09/2026 16:18:11,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,27,Trial,Check,hy52gd,1,response,checked,,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,1,0,0,,Time Limit,screen,0,screen,week,seachtain,Trial,
42,1788880691837,08/09/2026 15:18:11,1788880691837,1,08/09/2026 16:18:11,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,28,Trial,Check,hy52gd,1,response,checked,,100.19999999999709,100.19999999999709,100.19999999999709,100.19999999999709,100.19999999999709,100.19999999999709,1,0,0,,Time Limit,screen,0,screen,weather,aimsir,Trial,
43,1788880691937,08/09/2026 15:18:11,1788880691937,1,08/09/2026 16:18:11,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,29,Trial,Check,hy52gd,1,response,checked,,99.20000000000073,99.20000000000073,99.20000000000073,99.20000000000073,99.20000000000073,99.20000000000073,1,0,0,,Time Limit,screen,0,screen,wind,gaoth,Trial,
44,1788880692037,08/09/2026 15:18:12,1788880692037,1,08/09/2026 16:18:12,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,30,Trial,Check,hy52gd,1,response,checked,,100.60000000000218,100.60000000000218,100.60000000000218,100.60000000000218,100.60000000000218,100.60000000000218,1,0,0,,Time Limit,screen,0,screen,colour,dath,Trial,
45,1788880692729,08/09/2026 15:18:12,1788880692729,1,08/09/2026 16:18:12,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,30,Trial,Trial,3izpks,2,continue,,,692.3999999821172,686.2999999999993,692.3999999821172,692.3999999821172,686.2999999999993,692.3999999821172,0,0,0,,Click To Continue,Continue Button,3,object-8,colour,dath,Trial,
46,1788880692730,08/09/2026 15:18:12,1788880692730,1,08/09/2026 16:18:12,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,30,Trial,Trial,3izpks,2,response,,,692.8999999821172,686.2999999999993,692.8999999821172,692.8999999821172,686.2999999999993,692.8999999821172,0,0,0,,Text Entry,Text Entry,2,object-4,colour,dath,Trial,
47,1788880692824,08/09/2026 15:18:12,1788880692824,1,08/09/2026 16:18:12,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,31,Trial,Check,hy52gd,1,response,checked,,101.09999999999854,101.09999999999854,101.09999999999854,101.09999999999854,101.09999999999854,101.09999999999854,1,0,0,,Time Limit,screen,0,screen,to put,cuir,Trial,
48,1788880695522,08/09/2026 15:18:15,1788880695522,1,08/09/2026 16:18:15,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,31,Trial,Trial,3izpks,2,continue,,,2697.2999999940403,2691.2000000000007,2697.2999999940403,2697.2999999940403,2691.2000000000007,2697.2999999940403,0,0,0,,Click To Continue,Continue Button,3,object-8,to put,cuir,Trial,
49,1788880695522,08/09/2026 15:18:15,1788880695522,1,08/09/2026 16:18:15,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,31,Trial,Trial,3izpks,2,response,put,,2107.7999999999993,2691.2000000000007,2697.7999999940403,2107.7999999999993,2691.2000000000007,2697.7999999940403,0,589.999999994041,0,,Text Entry,Text Entry,2,object-4,to put,cuir,Trial,
50,1788880695616,08/09/2026 15:18:15,1788880695616,1,08/09/2026 16:18:15,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,32,Trial,Check,hy52gd,1,response,checked,,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,1,0,0,,Time Limit,screen,0,screen,to do,déan,Trial,
